번호,사업장명,위도,경도,영업상태명,소재지전화,소재지전체주소,도로명전체주소,의료기관종별명,의료인수,병상수
1,의료법인 일선의료재단 화성현대요양병원,37.042426546,126.7981035,휴업,031-379-6000,,경기도 화성시 우정읍 남양만로 662,요양병원(일반요양병원),7,143
2,의료법인건우의료재단큰사랑요양병원,36.303326225,127.57077767,휴업,043-730-9000,충청북도 옥천군 옥천읍 금구리 1-3,충청북도 옥천군 옥천읍 중앙로 72,요양병원(일반요양병원),18,209
3,의료법인 요섭의료재단 감람원병원,36.311887896,127.7621014,휴업,732-2070,충청북도 옥천군 청성면 궁촌리 443번지,충청북도 옥천군 청성면 청성로 654-1,정신병원,6,120
4,의료법인 도담의료재단 휴향요양병원,36.262749159,127.57479792,휴업,733-6604,,충청북도 옥천군 옥천읍 청풍로 267-14,요양병원(일반요양병원),4,129
5,의료법인 태종의료재단 음성요양병원,36.938882267,127.69194336,휴업,043-871-9900,충청북도 음성군 음성읍 읍내리 244번지 20호,충청북도 음성군 음성읍 시장로126번길 9,요양병원(일반요양병원),18,183
6,헤아림요양병원,35.201408007,126.88053296,휴업,719-9988,,"광주광역시 북구 하서로 290-51, 지하1,1~5층 (일곡동)",요양병원(일반요양병원),39,289
7,중앙요양병원,35.832071882,128.55108801,휴업,053-654-7575,대구광역시 달서구 송현동 183번지 12호,"대구광역시 달서구 월배로83길 14, 지하1, 2~5층 (송현동)",요양병원(일반요양병원),7,199
8,의료법인해성의료재단해성아리즈웰병원,35.854908792,128.50283221,휴업,053-760-1000,,대구광역시 달서구 계대동문로 96 (이곡동),병원,92,263
9,의료법인 계룡의료재단 계룡병원,36.272656076,127.25698966,휴업,042)551-8275,충청남도 계룡시 금암동 145번지,충청남도 계룡시 계룡대로 295 (금암동),병원,7,100
10,우리요양병원,37.325127543,127.48474423,휴업,031-638-8123,경기도 이천시 백사면 조읍리 291번지 1호,경기도 이천시 백사면 이여로428번길 167,요양병원(일반요양병원),1,79
11,감인의료재단 신갈백세요양병원,37.286672033,127.09731826,휴업,031-693-6900,,"경기도 용인시 기흥구 신정로159번길 60, 신갈백세암요양병원 (신갈동)",요양병원(일반요양병원),15,96
12,의료법인자비의료재단 더나은요양병원,37.066081604,127.0567191,휴업,031-662-3210,,경기도 평택시 점촌로19번길 60 (서정동),요양병원(일반요양병원),8,101
13,365굿모닝한방병원,34.967572076,127.56953918,휴업,061763-1004,,전라남도 광양시 광양읍 대림오성로 61-0,한방병원,1,60
14,송효의료재단효산요양병원,35.85232656,128.62471837,휴업,053-766-2114,,대구광역시 수성구 동대구로 245 (범어동),요양병원(일반요양병원),11,119
15,동대구요양병원,35.883651343,128.63126922,휴업,053-957-7551,대구광역시 동구신암4동 332-10,대구광역시 동구 신암남로 159 (신암동),요양병원(일반요양병원),10,102
16,의료법인아선의료재단메디케어요양병원,36.811308366,127.11021985,휴업,041-567-2277,"충청남도 천안시 서북구 불당동 705 메디컬타워, 5층, 7층","충청남도 천안시 서북구 검은들1길 20, 메디컬타워 5층, 7층 (불당동)",요양병원(일반요양병원),4,61
17,파주삼성요양병원,37.75636097,126.7717223,휴업,031-942-8200,경기도 파주시 금촌동 251번지 5호 금촌그린플라자,"경기도 파주시 한마음2길 25, 금촌그린플라자 (금촌동)",요양병원(일반요양병원),1,96
18,동서한방병원,37.754543588,126.78196148,휴업,944-1100(5),경기도 파주시 금릉동 211번지 11호 메트로프라자 2층,"경기도 파주시 중앙로 193, 2동 2층 (금릉동, 메트로프라자)",한방병원,4,31
19,의료법인 설백의료재단 평택국제요양병원,37.015139296,127.04700961,휴업,031-612-3275,경기도 평택시 고덕면 방축리 111 평택 국제병원,"경기도 평택시 고덕면 방축길 109, 평택 국제병원 지2,지1,4층",요양병원(일반요양병원),12,141
20,양주우리병원,37.816723671,126.98983699,휴업,031-837-5100,경기도 양주시 광적면 가납리 399-8,경기도 양주시 광적면 백은로 261,병원,11,94
21,예쓰요양병원,37.838012846,127.06399409,휴업,031-864-5500,경기도 양주시 덕정동 222-27,"경기도 양주시 회정로109번길 7-20, 1,2,4,5층 (덕정동)",요양병원(일반요양병원),9,46
22,청지기요양병원,37.750322973,126.96836396,휴업,031-855-2110,경기도 양주시 장흥면 석현리 51번지 1호 외1필지,경기도 양주시 장흥면 권율로 512,요양병원(일반요양병원),0,132
